Customer_ID,Age,Gender,Country,Visit_Date,Seating_Region,Ticket_Price,Num_Tickets,Merchandise_Spend,Drink_Spend,Repeat_Visit,Satisfaction_Score,Recommendation_Likelihood,Ticket_Revenue,Total_Revenue,Visit_Year,Visit_Month,Visit_Month_Name,Visit_Quarter,Age_Group,Visit_Type,Seating_Tier_Order
CUST_0001,56,Male,Sweden,2025-06-08,VIP,200,2,35.5,4.94,0,10.0,8,400,440.44,2025,6,Jun,2,51-65,First-time,1
CUST_0002,69,Female,Australia,2025-04-10,Premium,150,4,96.09,8.37,1,7.9,10,600,704.46,2025,4,Apr,2,65+,Repeat,2
CUST_0003,46,Female,USA,2025-04-11,Premium,150,2,37.05,0.38,0,8.3,10,300,337.43,2025,4,Apr,2,36-50,First-time,2
CUST_0004,32,Male,Australia,2025-02-09,High Economy,100,4,34.22,16.79,0,7.3,8,400,451.01000000000005,2025,2,Feb,1,26-35,First-time,3
CUST_0005,60,Male,USA,2025-02-20,High Economy,100,1,63.07,38.77,1,8.2,8,100,201.84,2025,2,Feb,1,51-65,Repeat,3
CUST_0006,25,Female,Japan,2025-07-27,Premium,150,3,34.56,17.37,0,8.2,8,450,501.93,2025,7,Jul,3,18-25,First-time,2
CUST_0007,38,Female,Germany,2025-07-01,VIP,200,2,6.81,20.0,1,9.4,8,400,426.81,2025,7,Jul,3,36-50,Repeat,1
CUST_0008,56,Other,Japan,2025-06-14,VIP,200,2,71.64,62.26,0,8.1,10,400,533.9,2025,6,Jun,2,51-65,First-time,1
CUST_0009,36,Male,UK,2025-01-29,Economy,60,4,87.49,5.1,0,8.2,8,240,332.59000000000003,2025,1,Jan,1,36-50,First-time,4
CUST_0010,40,Female,Sweden,2025-05-29,Premium,150,4,41.95,38.67,1,8.8,7,600,680.62,2025,5,May,2,36-50,Repeat,2
CUST_0011,28,Male,USA,2025-02-04,High Economy,100,2,60.59,14.21,0,9.3,4,200,274.8,2025,2,Feb,1,26-35,First-time,3
CUST_0012,28,Female,Australia,2025-08-01,Economy,60,4,38.5,8.39,1,6.5,7,240,286.89,2025,8,Aug,3,26-35,Repeat,4
CUST_0013,41,Female,Germany,2025-06-27,High Economy,100,2,55.28,21.44,0,6.1,6,200,276.72,2025,6,Jun,2,36-50,First-time,3
CUST_0014,53,Male,USA,2025-07-04,Economy,60,2,22.64,9.86,0,10.0,8,120,152.5,2025,7,Jul,3,51-65,First-time,4
CUST_0015,57,Male,Australia,2025-06-25,Premium,150,2,201.45,10.49,1,9.1,6,300,511.94,2025,6,Jun,2,51-65,Repeat,2
CUST_0016,41,Male,Sweden,2025-07-18,Economy,60,1,167.97,31.23,0,7.7,9,60,259.2,2025,7,Jul,3,36-50,First-time,4
CUST_0017,20,Male,Japan,2025-07-08,VIP,200,4,19.63,34.44,1,8.0,10,800,854.0699999999999,2025,7,Jul,3,18-25,Repeat,1
CUST_0018,39,Male,Sweden,2025-01-02,VIP,200,3,48.16,17.11,0,7.4,8,600,665.27,2025,1,Jan,1,36-50,First-time,1
CUST_0019,19,Female,France,2025-01-22,High Economy,100,3,57.6,54.71,0,8.3,7,300,412.31,2025,1,Jan,1,18-25,First-time,3
